"nazev","adresa"
"Základní škola a mateřská škola Lipník nad Bečvou, ulice Hranická 511, příspěvková organizace","Hranická 511 , Lipník nad Bečvou 751 31"
"Základní škola Přerov, Trávník 27","Trávník 165 , Přerov 750 02"
"Základní škola Brodek u Přerova, okres Přerov","Majetínská 275 , Brodek u Přerova 751 03"
"Základní škola a Mateřská škola Beňov, okres Přerov, příspěvková organizace","73 , Beňov 750 02"
"Základní škola Přerov, Za mlýnem 1","Za Mlýnem 1250 , Přerov 750 02"
"Základní škola Dřevohostice, okres Přerov, příspěvková organizace","Školní 355 , Dřevohostice 751 14"
"Základní škola Kojetín, Svatopluka Čecha 586, okres Přerov","Svatopluka Čecha 586 , Kojetín 752 01"
"Základní škola Lipník nad Bečvou, ulice Osecká 315, okres Přerov, příspěvková organizace","Osecká 315 , Lipník nad Bečvou 751 31"
"Základní škola Přerov, Boženy Němcové 16","Boženy Němcové 101 , Přerov 750 02"
"Základní škola a mateřská škola Polkovice, příspěvková organizace","85 , Polkovice 751 44"
"Základní škola Kojetín, náměstí Míru 83, okres Přerov","náměstí Míru 83 , Kojetín 752 01"
"Základní škola a mateřská škola Domaželice, okres Přerov, příspěvková organizace","13 , Domaželice 751 15"
"Základní škola Mohelnice, Vodní 27","Vodní 248 , Mohelnice 789 85"
"Základní škola a Mateřská škola Zábřeh, Rudolfa Pavlů 1799/4, okres Šumperk, příspěvková organizace","Rudolfa Pavlů 1799 , Zábřeh 789 01"
"Základní škola Chromeč, okres Šumperk, příspěvková organizace","12 , Chromeč 789 01"
"Základní škola a Mateřská škola Bohdíkov, okres Šumperk, příspěvková organizace","48 , Bohdíkov 789 64"
"Základní škola a Mateřská škola, Bohuslavice, okres Šumperk, příspěvková organizace","68 , Bohuslavice 789 72"
"Základní škola Bohutín, okres Šumperk, příspěvková organizace","103 , Bohutín 789 62"
"Základní škola a mateřská škola Brníčko, příspěvková organizace","85 , Brníčko 789 75"
"Základní škola a Mateřská škola Hrabová, okres Šumperk, příspěvková organizace","52 , Hrabová 789 01"
"Základní škola a mateřská škola Horní Studénky, okres Šumperk, příspěvková organizace","93 , Horní Studénky 789 01"
"Základní škola a Mateřská škola Hrabenov, okres Šumperk, příspěvková organizace","175 , Ruda nad Moravou 789 63"
"Základní škola a Mateřská škola Jedlí, okres Šumperk, příspěvková organizace","240 , Jedlí 789 01"
"Základní škola a mateřská škola Jestřebí, okres Šumperk, příspěvková organizace","116 , Jestřebí 789 01"
"Základní škola a Mateřská škola Jindřichov, příspěvková organizace","18 , Jindřichov 788 23"
"Základní škola Boleslava Hrbka a Mateřská škola Leština, příspěvková organizace","7. května 134 , Leština 789 71"
"Základní škola a Mateřská škola Lukavice, okres Šumperk, příspěvková organizace","56 , Lukavice 789 01"
"Základní škola a Mateřská škola Maletín, okres Šumperk, příspěvková organizace","94 , Maletín 789 01"
"Základní škola Moravičany, okres Šumperk","213 , Moravičany 789 82"
"Základní škola a mateřská škola Svébohov, okres Šumperk, příspěvková organizace","141 , Svébohov 789 01"
"Základní škola a Mateřská škola Bratrušov, okres Šumperk, příspěvková organizace","133 , Bratrušov 787 01"
"Základní škola a mateřská škola Dubicko, příspěvková organizace","Zábřežská 143 , Dubicko 789 72"
"Základní škola a Mateřská škola Hrabišín, okres Šumperk, příspěvková organizace","139 , Hrabišín 788 04"
"Základní škola a Mateřská škola Rohle, příspěvková organizace","145 , Rohle 789 74"
"Základní škola Karla staršího ze Žerotína Bludov","Nová dědina 368 , Bludov 789 61"
"Základní škola a Mateřská škola Hanušovice, okres Šumperk","Hlavní 145 , Hanušovice 788 33"
"Základní škola Libina, příspěvková organizace","548 , Libina 788 05"
"Základní škola Loštice, okres Šumperk, příspěvková organizace","Komenského 17 , Loštice 789 83"
"Základní škola Mohelnice, Mlýnská 1","Mlýnská 758 , Mohelnice 789 85"
"Základní škola Postřelmov, okres Šumperk, příspěvková organizace","Školní 290 , Postřelmov 789 69"
"Základní škola Ruda nad Moravou, okres Šumperk","Sportovní 300 , Ruda nad Moravou 789 63"
"Základní škola a Mateřská škola Staré Město, okres Šumperk","Nádražní 77 , Staré Město 788 32"
"Základní škola a Mateřská škola Sudkov, příspěvková organizace","176 , Sudkov 788 21"
"Základní škola a mateřská škola Štíty, okres Šumperk","Školní 98 , Štíty 789 91"
"Základní škola Šumperk, Vrchlického 22","Vrchlického 1846 , Šumperk 787 01"
"Základní škola Šumperk, 8. května 63","8. května 870 , Šumperk 787 01"
"Základní škola Šumperk, Šumavská 21","Šumavská 2325 , Šumperk 787 01"
"Základní škola a Mateřská škola Úsov, příspěvková organizace","Školní 187 , Úsov 789 73"
"Základní škola a mateřská škola Velké Losiny, příspěvková organizace","Osvobození 350 , Velké Losiny 788 15"
"Základní škola Zábřeh, Boženy Němcové 1503/15, okres Šumperk","Boženy Němcové 1503 , Zábřeh 789 01"
"Základní škola Zábřeh, Školská 406/11, okres Šumperk","Školská 406 , Zábřeh 789 01"
"Základní škola a Dům dětí a mládeže Krasohled Zábřeh, Severovýchod 484/26, okres Šumperk","Severovýchod 484 , Zábřeh 789 01"
"Základní škola a Mateřská škola Loučná nad Desnou, příspěvková organizace","58 , Loučná nad Desnou 788 11"
"Základní škola Šumperk, Sluneční 38","Sluneční 2692 , Šumperk 787 01"
"Základní škola a Mateřská škola Nemile, příspěvková organizace","90 , Nemile 789 01"
"Základní škola a Mateřská škola Bušín, okres Šumperk, příspěvková organizace","150 , Bušín 789 62"
"Základní škola Šumperk, Dr.E.Beneše 1","Dr. E. Beneše 974 , Šumperk 787 01"
"Základní škola a mateřská škola Kamenná, okres Šumperk, příspěvková organizace","66 , Kamenná 789 74"
"Základní škola Valašské Meziříčí, Šafaříkova 726, okres Vsetín, příspěvková organizace","Šafaříkova 726 , Valašské Meziříčí 757 01"
"Základní škola Valašské Meziříčí, Masarykova 291, okres Vsetín, příspěvková organizace","Masarykova 291 , Valašské Meziříčí 757 01"
"Základní škola Lešná, okres Vsetín","133 , Lešná 756 41"
"Základní škola Valašské Meziříčí, Vyhlídka 380, okres Vsetín, příspěvková organizace","Králova 380 , Valašské Meziříčí 757 01"
"Základní škola Valašské Meziříčí, Žerotínova 376, okres Vsetín, příspěvková organizace","Žerotínova 376 , Valašské Meziříčí 757 01"
"Základní škola Valašské Meziříčí, Křižná 167, okres Vsetín, příspěvková organizace","Křižná 167 , Valašské Meziříčí 757 01"
"Základní škola Valašská Polanka, okres Vsetín","301 , Valašská Polanka 756 11"
"Základní škola Zašová, okres Vsetín","500 , Zašová 756 51"
"Základní škola Vidče, okres Vsetín","181 , Vidče 756 53"
"Základní škola Nový Hrozenkov, okres Vsetín","437 , Nový Hrozenkov 756 04"
"Základní škola Pod Skalkou, Rožnov p. R., příspěvková organizace","Bezručova 293 , Rožnov pod Radhoštěm 756 61"
"Základní škola Hovězí, okres Vsetín","426 , Hovězí 756 01"
"Základní škola Halenkov, okres Vsetín","535 , Halenkov 756 03"
"Základní škola Valašská Bystřice, okres Vsetín","360 , Valašská Bystřice 756 27"
"Základní škola a mateřská škola Hutisko-Solanec, příspěvková organizace","605 , Hutisko-Solanec 756 62"
"Základní škola a mateřská škola Dolní Bečva, okres Vsetín","578 , Dolní Bečva 756 55"
"Základní škola Vsetín, Ohrada 1876, příspěvková organizace","Nad Školou 1876 , Vsetín 755 01"
"Základní škola Videčská, Rožnov p. R., příspěvková organizace","Videčská 63 , Rožnov pod Radhoštěm 756 61"
"Základní škola Hošťálková, okres Vsetín","380 , Hošťálková 756 22"
"Základní škola Vsetín, Luh 1544, příspěvková organizace","Jasenická 1544 , Vsetín 755 01"
"Základní škola Růžďka, okres Vsetín","203 , Růžďka 756 25"
"Základní škola Vsetín, Trávníky 1217, příspěvková organizace","Matouše Václavka 1217 , Vsetín 755 01"
"Základní škola Vsetín, Rokytnice 436, příspěvková organizace","Michala Urbánka 436 , Vsetín 755 01"
"Základní škola Vsetín, Sychrov 97, příspěvková organizace","MUDr. Františka Sovy 97 , Vsetín 755 01"
"Základní škola Jablůnka, okres Vsetín","306 , Jablůnka 756 23"
"Základní škola a mateřská škola Kladeruby, okres Vsetín, příspěvková organizace","105 , Kladeruby 756 43"
"Základní škola a Mateřská škola Pržno, okres Vsetín","127 , Pržno 756 23"
"Základní škola Koryčanské Paseky, Rožnov p. R., příspěvková organizace","Sevastopolská 467 , Rožnov pod Radhoštěm 756 61"
"Základní škola a Mateřská škola Branky, okres Vsetín, příspěvková organizace","101 , Branky 756 45"
"Základní škola Huslenky, okres Vsetín","290 , Huslenky 756 02"
"Základní škola a Mateřská škola Choryně, okres Vsetín, příspěvková organizace","116 , Choryně 756 42"
"Základní škola a Mateřská škola Jarcová, okres Vsetín, příspěvková organizace","53 , Jarcová 757 01"
"Základní škola a Mateřská škola Kateřinice, okres Vsetín","154 , Kateřinice 756 21"
"Základní škola a mateřská škola Kunovice, okres Vsetín, příspěvková organizace","43 , Kunovice 756 44"
"Základní škola a Mateřská škola Leskovec, okres Vsetín, příspěvková organizace","93 , Leskovec 756 11"
"Základní škola a Mateřská škola Mikulůvka, okres Vsetín","42 , Mikulůvka 756 24"
"Základní škola a Mateřská škola Pozděchov, okres Vsetín","192 , Pozděchov 756 11"
"Základní škola Prostřední Bečva","207 , Prostřední Bečva 756 56"
"Základní škola Střelná, okres Vsetín, příspěvková organizace","84 , Střelná 756 12"
"Základní škola a Mateřská škola Študlov, příspěvková organizace","76 , Študlov 756 12"
"Základní škola a Mateřská škola Vigantice, okres Vsetín, příspěvková organizace","88 , Vigantice 756 61"
"Základní škola a Mateřská škola Zděchov","103 , Zděchov 756 07"
"Základní škola Lidečko, okres Vsetín","36 , Lidečko 756 12"
"Základní škola Ratiboř, okres Vsetín","112 , Ratiboř 756 21"
"Základní škola Francova Lhota,okres Vsetín","190 , Francova Lhota 756 14"
"Základní škola T. G. Masaryka Horní Bečva","544 , Horní Bečva 756 57"
"Základní škola Horní Lideč, okres Vsetín","200 , Horní Lideč 756 12"
"Základní škola Vojtěcha Jasného Kelč, příspěvková organizace","229 , Kelč 756 43"
"Základní škola a Mateřská škola Liptál","465 , Liptál 756 31"
"Základní škola Velké Karlovice, okres Vsetín","19 , Velké Karlovice 756 06"
"Základní škola Zubří, okres Vsetín","Hlavní 70 , Zubří 756 54"
"Základní škola Záhumení, Rožnov p. R., příspěvková organizace","Boženy Němcové 1180 , Rožnov pod Radhoštěm 756 61"
"Základní škola a mateřská škola Lhota u Vsetína, příspěvková organizace","128 , Lhota u Vsetína 755 01"
"Základní škola a Mateřská škola Police, okres Vsetín, příspěvková organizace","124 , Police 756 44"
"Základní škola a Mateřská škola Karolinka","Kobylská 250 , Karolinka 756 05"
"Základní škola 5. května, Rožnov p. R., příspěvková organizace","5. května 1700 , Rožnov pod Radhoštěm 756 61"
"Základní škola Zlaté Hory","Wolkerova 712 , Zlaté Hory 793 76"
"Základní škola Jeseník, příspěvková organizace","Nábřežní 413 , Jeseník 790 01"
"Základní škola a mateřská škola Bernartice, okres Jeseník - příspěvková organizace","259 , Bernartice 790 57"
"Základní škola a Mateřská škola Stará Červená Voda, příspěvková organizace","164 , Stará Červená Voda 790 53"
"Základní škola a Mateřská škola Skorošice, příspěvková organizace","90 , Skorošice 790 65"
"Základní škola a Mateřská škola Supíkovice, okres Jeseník, příspěvková organizace","129 , Supíkovice 790 51"
"Základní škola a Mateřská škola Bělá pod Pradědem, příspěvková organizace","170 , Bělá pod Pradědem 790 01"
"Základní škola Javorník, okres Jeseník","Školní 72 , Javorník 790 70"
"Základní škola Česká Ves, okres Jeseník","Makarenkova 414 , Česká Ves 790 81"
"Základní škola a mateřská škola J. Schrotha, Lipová - lázně","530 , Lipová-lázně 790 61"
"Základní škola Mikulovice, okres Jeseník","Hlavní 346 , Mikulovice 790 84"
"Základní škola Vápenná, okres Jeseník, příspěvková organizace","262 , Vápenná 790 64"
"Základní škola Vidnava, okres Jeseník - příspěvková organizace","Hrdinů 249 , Vidnava 790 55"
"Základní škola Žulová, okres Jeseník - příspěvková organizace","Školní 147 , Žulová 790 65"
"Základní škola Zdice","Žižkova 589 , Zdice 267 51"
"Základní škola T. G. Masaryka, Komárov, okres Beroun","Sokolovická 260 , Komárov 267 62"
"Základní škola P. Lisého Hostomice, okres Beroun","Školní 246 , Hostomice 267 24"
"Základní škola a Mateřská škola Mšené-lázně, okres Litoměřice, příspěvková organizace","Školní 121 , Mšené-lázně 411 19"
"Základní škola Štětí, Školní 559, okres Litoměřice","Školní 559 , Štětí 411 08"
"Odborné učiliště, Praktická škola, Základní škola a Mateřská škola Příbram IV, příspěvková organizace","Pod Šachtami 335 , Příbram 261 01"
"Střední škola, základní škola a mateřská škola pro sluchově postižené, Praha 5, Holečkova 4","Holečkova 104 , Praha 150 00"
"Základní škola Tolerance, Praha 9, Mochovská 570","Mochovská 570 , Praha 198 00"
"Základní škola logopedická a Mateřská škola logopedická, Praha 10, Moskevská 29","Moskevská 408 , Praha 101 00"
"Střední škola, Základní škola, Mateřská škola, Dětský domov a Speciálně pedagogické centrum Mladá Boleslav, příspěvková organizace","Na Celně 915 , Mladá Boleslav 293 01"
